date,rate
1/1/1998,0.005042245
2/1/1998,0.001123778
3/1/1998,0.000800165
4/1/1998,0.003449379
5/1/1998,0.006472101
6/1/1998,-0.006410126
7/1/1998,-0.003570624
8/1/1998,0.020470151
9/1/1998,-0.001731702
10/1/1998,0.007976057
11/1/1998,-0.000499495
12/1/1998,0.003823217
1/1/1999,0.004601433
2/1/1999,0.005267962
3/1/1999,0.001684204
4/1/1999,0.002550556
5/1/1999,0.007486796
6/1/1999,-0.001609289
7/1/1999,0.006224716
8/1/1999,0.004048526
9/1/1999,-0.003833174
10/1/1999,0.013147521
11/1/1999,0.004753083
12/1/1999,0.007627943
1/1/2000,9.16004E-05
2/1/2000,0.002855146
3/1/2000,0.004021726
4/1/2000,0.007226003
5/1/2000,0.001890342
6/1/2000,0.000742898
7/1/2000,-0.001275552
8/1/2000,-0.003327721
9/1/2000,0.004060686
10/1/2000,-0.002886096
11/1/2000,0.000246226
12/1/2000,-0.002704699
1/1/2001,-0.006897773
2/1/2001,-0.006088877
3/1/2001,-0.002405733
4/1/2001,-0.002480285
5/1/2001,-0.006611099
6/1/2001,-0.006150227
7/1/2001,-0.005642703
8/1/2001,-0.001899855
9/1/2001,-0.003437936
10/1/2001,-0.004419474
11/1/2001,-0.005125134
12/1/2001,0.000547056
1/1/2002,0.005691094
2/1/2002,0.000202648
3/1/2002,0.007909293
4/1/2002,0.004224599
5/1/2002,0.004083065
6/1/2002,0.009546644
7/1/2002,-0.002379221
8/1/2002,0.000247961
9/1/2002,0.001466118
10/1/2002,-0.003492072
11/1/2002,0.005220749
12/1/2002,-0.004826676
1/1/2003,0.005595023
2/1/2003,0.003056432
3/1/2003,-0.002191305
4/1/2003,-0.007151676
5/1/2003,0.000163176
6/1/2003,0.001582439
7/1/2003,0.004085057
8/1/2003,-0.00183859
9/1/2003,0.006355563
10/1/2003,0.001214951
11/1/2003,0.008247638
12/1/2003,-0.000730914
1/1/2004,0.001919137
2/1/2004,0.005997042
3/1/2004,-0.004703005
4/1/2004,0.004165085
5/1/2004,0.008357944
6/1/2004,-0.008407136
7/1/2004,0.007760539
8/1/2004,0.000712348
9/1/2004,0.000867395
10/1/2004,0.009403385
11/1/2004,0.001876209
12/1/2004,0.007289263
1/1/2005,0.004513475
2/1/2005,0.006824789
3/1/2005,-0.001670405
4/1/2005,0.001460047
5/1/2005,0.00167076
6/1/2005,0.004013312
7/1/2005,-0.003138796
8/1/2005,0.00186688
9/1/2005,-0.018990182
10/1/2005,0.012810541
11/1/2005,0.010332484
12/1/2005,0.005806659
1/1/2006,0.001197194
2/1/2006,0.000739109
3/1/2006,0.001655129
4/1/2006,0.00434944
5/1/2006,-0.001389117
6/1/2006,0.003611246
7/1/2006,-0.00015899
8/1/2006,0.003219333
9/1/2006,-0.001702716
10/1/2006,-0.000300992
11/1/2006,-0.00088376
12/1/2006,0.010570612
1/1/2007,-0.00488116
2/1/2007,0.010230117
3/1/2007,0.001709672
4/1/2007,0.007162427
5/1/2007,0.00043864
6/1/2007,3.6141E-05
7/1/2007,-0.00030909
8/1/2007,0.001918853
9/1/2007,0.003288181
10/1/2007,-0.004764208
11/1/2007,0.005415583
12/1/2007,-3.21577E-05
1/1/2008,-0.003014407
2/1/2008,-0.003347978
3/1/2008,-0.002430179
4/1/2008,-0.007423756
5/1/2008,-0.005062454
6/1/2008,-0.001666762
7/1/2008,-0.00541126
8/1/2008,-0.014966549
9/1/2008,-0.043029109
10/1/2008,0.00921658
11/1/2008,-0.012320776
12/1/2008,-0.029401225
1/1/2009,-0.023607983
2/1/2009,-0.006248784
3/1/2009,-0.015756483
4/1/2009,-0.008887032
5/1/2009,-0.010484095
6/1/2009,-0.004138954
7/1/2009,0.010392106
8/1/2009,0.011081182
9/1/2009,0.007740236
10/1/2009,0.002910297
11/1/2009,0.004214832
12/1/2009,0.002828989
1/1/2010,0.011189411
2/1/2010,0.003340351
3/1/2010,0.006504471
4/1/2010,0.00414919
5/1/2010,0.015566791
6/1/2010,0.001939795
7/1/2010,0.004440447
8/1/2010,0.003730031
9/1/2010,0.002826088
10/1/2010,-0.00253652
11/1/2010,0.000669203
12/1/2010,0.008314507
1/1/2011,-0.000700548
2/1/2011,-0.004326531
3/1/2011,0.008640668
4/1/2011,-0.004202778
5/1/2011,0.001959896
6/1/2011,0.002428001
7/1/2011,0.004745125
8/1/2011,0.004918981
9/1/2011,-0.000492865
10/1/2011,0.006774605
11/1/2011,-0.001306783
12/1/2011,0.003997721
1/1/2012,0.00714272
2/1/2012,0.002808449
3/1/2012,-0.007023033
4/1/2012,0.00890985
5/1/2012,0.001648644
6/1/2012,0.000275988
7/1/2012,0.002813105
8/1/2012,-0.004728191
9/1/2012,0.001211952
10/1/2012,0.002548022
11/1/2012,0.005493212
12/1/2012,0.002710264
1/1/2013,-0.000760109
2/1/2013,0.005117797
3/1/2013,0.001498846
4/1/2013,-0.000469349
5/1/2013,0.000188025
6/1/2013,0.002170241
7/1/2013,-0.005674603
8/1/2013,0.007393009
9/1/2013,0.004822889
10/1/2013,-0.000546423
11/1/2013,0.003363315
12/1/2013,0.001732942
1/1/2014,-0.004751761
2/1/2014,0.008098604
3/1/2014,0.007722774
4/1/2014,0.001453555
5/1/2014,0.003963895
6/1/2014,0.004473786
7/1/2014,0.000808582
8/1/2014,-7.98424E-05
9/1/2014,0.003575132
10/1/2014,0.000654511
11/1/2014,0.009869931
12/1/2014,-0.001580327
1/1/2015,-0.004953144
2/1/2015,-0.001254828
3/1/2015,-0.003236423
4/1/2015,-0.002291617
5/1/2015,-0.002349126
6/1/2015,-0.001580563
7/1/2015,0.00587069
8/1/2015,0.000974634
9/1/2015,-0.002567763
10/1/2015,-0.001351285
11/1/2015,-0.006445116
12/1/2015,-0.00422923
1/1/2016,0.004846932
2/1/2016,-0.001296037
3/1/2016,-0.009467121
4/1/2016,0.003993213
5/1/2016,-0.001394473
6/1/2016,0.005096742
7/1/2016,0.002881344
8/1/2016,-0.000836184
9/1/2016,-0.00227031
10/1/2016,0.001949174
11/1/2016,-0.006613915
12/1/2016,0.008298091
